text,cleaned_text,predicted
"Permohonan ini juga bertujuan memohon penjelasan CRCC, sama ada syarikat berkenaan adalah pemegang saham bagi syarikat tujuan khas (SPV) bagi projek berkenaan",mohon tuju mohon crcc pegang tuju khas spv,Negative
Projek ini bukti komitmen berterusan kerajaan Barisan Nasional (BN) pada peringkat Persekutuan dan negeri untuk menjaga kebajikan rakyat di Melaka,bukti komitmen raja baris sekutu jaga kebaji melaka,Positive
"Menerusi pembentangan Bajet 2018 yang lalu, kerajaan menyediakan peruntukan mencukupi bagi mempromosi dan meningkatkan kemudahan pelancongan di negara ini.",terusi bentang bajet raja sedia promosi tingkat lancong,Positive
"Berdasarkan kualiti jawapan calon, 27 peratus calon menguasai KBAT pada tahap tinggi, 39 peratus pada tahap sederhana dan 34 peratus pada tahap rendah",alit jawapan calon atus calon kbat atus sederhana atus,Negative
"Pada masa sama, kerajaan negeri juga telah buat bayaran sebanyak RM700 kepada lebih 50,000 mangsa banjir.",raja bayar rm mangsa banjir,Negative
"Kita bawa pembangunan, bukan sahaja untuk Sabah tetapi ke seluruh Malaysia",bawa bangun,Positive
"Harapan kita agar isu berkaitan golongan muda seperti pekerjaan, pendidikan dan perumahan diberi perhatian dalam manifesto yang bakal diumumkan itu.",harap kait golong muda didik perhati manifesto,Negative
Kesan daripada penyemakan ini antaranya membabitkan pertukaran perkataan ordinan kepada akta,kesan sema babit tukar ordinan akta,Negative
"Kalau dah bersara dan tiada kaitan lagi dengan Felda, kami akan gunakan tindakan sivil ke atas mereka",sara kait felda tindak sivil,Negative
Kesediaan negara-negara ITRC untuk mematuhi kouta yang diperuntukkan adalah penting bagi memastikan mekanisme ini dapat memberikan impak positif terhadap harga pasaran getah asli global,sedia itrc patuh kouta mekanisme impak positif hadap pasar getah asli,Positive
"Apa yang menjadi masalah kita, apabila masyarakat gemar berkongsi maklumat mereka kepada pihak lain. ",gemar kongsi,Positive
Kami adalah parti baru,,Positive
